sku_id,date,forecast,model
R06,2025-03-23,81.34515674874302,LightGBM
R06,2025-03-30,80.09761896707063,LightGBM
Year,2025-01-12,283531.89493104914,ETS
Year,2025-01-19,274732.8763675658,ETS
Year,2025-01-26,265933.86829878576,ETS
Year,2025-02-02,257134.85998658845,ETS
Year,2025-02-09,248335.85148446294,ETS
Year,2025-02-16,239536.84284244193,ETS
Year,2025-02-23,230737.83410607773,ETS
Year,2025-03-02,221938.82531575297,ETS
Year,2025-03-09,213139.81650628702,ETS
Year,2025-03-16,204340.807706798,ETS
Year,2025-03-23,195541.79894077798,ETS
Year,2025-03-30,186742.79022634047,ETS
